status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Steady-state,1569,true,false,ortho,4,4,chart,6->hashmap,m1
Startup,2605,false,true,ortho,0,5,chart,6->hashmap,m1
Warmup,1606,false,false,ortho,1,5,chart,6->hashmap,m1
Warmup,1545,false,false,ortho,2,5,chart,6->hashmap,m1
Warmup,1551,false,false,ortho,3,5,chart,6->hashmap,m1
Steady-state,1548,true,false,ortho,4,5,chart,6->hashmap,m1
Startup,2593,false,true,ortho,0,6,chart,6->hashmap,m1
Warmup,1605,false,false,ortho,1,6,chart,6->hashmap,m1
Warmup,1587,false,false,ortho,2,6,chart,6->hashmap,m1
Warmup,1552,false,false,ortho,3,6,chart,6->hashmap,m1
Steady-state,1539,true,false,ortho,4,6,chart,6->hashmap,m1
Startup,2615,false,true,ortho,0,7,chart,6->hashmap,m1
Warmup,1627,false,false,ortho,1,7,chart,6->hashmap,m1
Warmup,1561,false,false,ortho,2,7,chart,6->hashmap,m1
Warmup,1546,false,false,ortho,3,7,chart,6->hashmap,m1
Steady-state,1551,true,false,ortho,4,7,chart,6->hashmap,m1
Startup,2626,false,true,ortho,0,8,chart,6->hashmap,m1
Warmup,1611,false,false,ortho,1,8,chart,6->hashmap,m1
Warmup,1606,false,false,ortho,2,8,chart,6->hashmap,m1
Warmup,1564,false,false,ortho,3,8,chart,6->hashmap,m1
Steady-state,1555,true,false,ortho,4,8,chart,6->hashmap,m1
Startup,2610,false,true,ortho,0,9,chart,6->hashmap,m1
Warmup,1643,false,false,ortho,1,9,chart,6->hashmap,m1
Warmup,1580,false,false,ortho,2,9,chart,6->hashmap,m1
Warmup,1570,false,false,ortho,3,9,chart,6->hashmap,m1
Steady-state,1559,true,false,ortho,4,9,chart,6->hashmap,m1
Startup,2641,false,true,ortho,0,10,chart,6->hashmap,m1
Warmup,1640,false,false,ortho,1,10,chart,6->hashmap,m1
Warmup,1583,false,false,ortho,2,10,chart,6->hashmap,m1
Warmup,1571,false,false,ortho,3,10,chart,6->hashmap,m1
Steady-state,1565,true,false,ortho,4,10,chart,6->hashmap,m1
Startup,2630,false,true,ortho,0,11,chart,6->hashmap,m1
Warmup,1619,false,false,ortho,1,11,chart,6->hashmap,m1
Warmup,1564,false,false,ortho,2,11,chart,6->hashmap,m1
Warmup,1561,false,false,ortho,3,11,chart,6->hashmap,m1
Steady-state,1554,true,false,ortho,4,11,chart,6->hashmap,m1
Startup,2623,false,true,ortho,0,12,chart,6->hashmap,m1
Warmup,1627,false,false,ortho,1,12,chart,6->hashmap,m1
Warmup,1579,false,false,ortho,2,12,chart,6->hashmap,m1
Warmup,1602,false,false,ortho,3,12,chart,6->hashmap,m1
Steady-state,1559,true,false,ortho,4,12,chart,6->hashmap,m1
Startup,2626,false,true,ortho,0,13,chart,6->hashmap,m1
Warmup,1603,false,false,ortho,1,13,chart,6->hashmap,m1
Warmup,1542,false,false,ortho,2,13,chart,6->hashmap,m1
Warmup,1544,false,false,ortho,3,13,chart,6->hashmap,m1
Steady-state,1540,true,false,ortho,4,13,chart,6->hashmap,m1
Startup,2577,false,true,ortho,0,14,chart,6->hashmap,m1
Warmup,1600,false,false,ortho,1,14,chart,6->hashmap,m1
Warmup,1546,false,false,ortho,2,14,chart,6->hashmap,m1
Warmup,1541,false,false,ortho,3,14,chart,6->hashmap,m1
