status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Warmup,530,false,false,best+original,7,19,lusearch,expected-best-steady-state+original,m1
Warmup,585,false,false,best+original,8,19,lusearch,expected-best-steady-state+original,m1
Warmup,519,false,false,best+original,9,19,lusearch,expected-best-steady-state+original,m1
Warmup,548,false,false,best+original,10,19,lusearch,expected-best-steady-state+original,m1
Warmup,580,false,false,best+original,11,19,lusearch,expected-best-steady-state+original,m1
Warmup,568,false,false,best+original,12,19,lusearch,expected-best-steady-state+original,m1
Steady-state,579,true,false,best+original,13,19,lusearch,expected-best-steady-state+original,m1
Startup,1802,false,true,best,0,0,lusearch,expected-best-startup,m1
Warmup,665,false,false,best,1,0,lusearch,expected-best-startup,m1
Warmup,533,false,false,best,2,0,lusearch,expected-best-startup,m1
Warmup,540,false,false,best,3,0,lusearch,expected-best-startup,m1
Warmup,567,false,false,best,4,0,lusearch,expected-best-startup,m1
Steady-state,524,true,false,best,5,0,lusearch,expected-best-startup,m1
Startup,1996,false,true,best,0,1,lusearch,expected-best-startup,m1
Warmup,605,false,false,best,1,1,lusearch,expected-best-startup,m1
Warmup,546,false,false,best,2,1,lusearch,expected-best-startup,m1
Warmup,562,false,false,best,3,1,lusearch,expected-best-startup,m1
Warmup,617,false,false,best,4,1,lusearch,expected-best-startup,m1
Warmup,549,false,false,best,5,1,lusearch,expected-best-startup,m1
Warmup,549,false,false,best,6,1,lusearch,expected-best-startup,m1
Warmup,542,false,false,best,7,1,lusearch,expected-best-startup,m1
Steady-state,578,true,false,best,8,1,lusearch,expected-best-startup,m1
Startup,1750,false,true,best,0,2,lusearch,expected-best-startup,m1
Warmup,591,false,false,best,1,2,lusearch,expected-best-startup,m1
Warmup,572,false,false,best,2,2,lusearch,expected-best-startup,m1
Warmup,541,false,false,best,3,2,lusearch,expected-best-startup,m1
Warmup,556,false,false,best,4,2,lusearch,expected-best-startup,m1
Steady-state,552,true,false,best,5,2,lusearch,expected-best-startup,m1
Startup,1871,false,true,best,0,3,lusearch,expected-best-startup,m1
Warmup,716,false,false,best,1,3,lusearch,expected-best-startup,m1
Warmup,551,false,false,best,2,3,lusearch,expected-best-startup,m1
Warmup,605,false,false,best,3,3,lusearch,expected-best-startup,m1
Warmup,586,false,false,best,4,3,lusearch,expected-best-startup,m1
Warmup,550,false,false,best,5,3,lusearch,expected-best-startup,m1
Warmup,524,false,false,best,6,3,lusearch,expected-best-startup,m1
Warmup,524,false,false,best,7,3,lusearch,expected-best-startup,m1
Steady-state,576,true,false,best,8,3,lusearch,expected-best-startup,m1
Startup,1933,false,true,best,0,4,lusearch,expected-best-startup,m1
Warmup,812,false,false,best,1,4,lusearch,expected-best-startup,m1
Warmup,544,false,false,best,2,4,lusearch,expected-best-startup,m1
Warmup,563,false,false,best,3,4,lusearch,expected-best-startup,m1
Warmup,571,false,false,best,4,4,lusearch,expected-best-startup,m1
Steady-state,536,true,false,best,5,4,lusearch,expected-best-startup,m1
Startup,1934,false,true,best,0,5,lusearch,expected-best-startup,m1
Warmup,589,false,false,best,1,5,lusearch,expected-best-startup,m1
Warmup,526,false,false,best,2,5,lusearch,expected-best-startup,m1
Warmup,573,false,false,best,3,5,lusearch,expected-best-startup,m1
Warmup,612,false,false,best,4,5,lusearch,expected-best-startup,m1
Warmup,524,false,false,best,5,5,lusearch,expected-best-startup,m1
Warmup,516,false,false,best,6,5,lusearch,expected-best-startup,m1
Warmup,516,false,false,best,7,5,lusearch,expected-best-startup,m1
Steady-state,539,true,false,best,8,5,lusearch,expected-best-startup,m1
Startup,1897,false,true,best,0,6,lusearch,expected-best-startup,m1
Warmup,567,false,false,best,1,6,lusearch,expected-best-startup,m1
Warmup,562,false,false,best,2,6,lusearch,expected-best-startup,m1
Warmup,557,false,false,best,3,6,lusearch,expected-best-startup,m1
Steady-state,584,true,false,best,4,6,lusearch,expected-best-startup,m1
Startup,1671,false,true,best,0,7,lusearch,expected-best-startup,m1
Warmup,591,false,false,best,1,7,lusearch,expected-best-startup,m1
Warmup,549,false,false,best,2,7,lusearch,expected-best-startup,m1
Warmup,527,false,false,best,3,7,lusearch,expected-best-startup,m1
Warmup,533,false,false,best,4,7,lusearch,expected-best-startup,m1
Steady-state,530,true,false,best,5,7,lusearch,expected-best-startup,m1
Startup,1805,false,true,best,0,8,lusearch,expected-best-startup,m1
Warmup,748,false,false,best,1,8,lusearch,expected-best-startup,m1
Warmup,517,false,false,best,2,8,lusearch,expected-best-startup,m1
Warmup,568,false,false,best,3,8,lusearch,expected-best-startup,m1
Warmup,544,false,false,best,4,8,lusearch,expected-best-startup,m1
Warmup,542,false,false,best,5,8,lusearch,expected-best-startup,m1
Steady-state,507,true,false,best,6,8,lusearch,expected-best-startup,m1
Startup,1933,false,true,best,0,9,lusearch,expected-best-startup,m1
Warmup,710,false,false,best,1,9,lusearch,expected-best-startup,m1
Warmup,532,false,false,best,2,9,lusearch,expected-best-startup,m1
Warmup,568,false,false,best,3,9,lusearch,expected-best-startup,m1
Warmup,617,false,false,best,4,9,lusearch,expected-best-startup,m1
Warmup,552,false,false,best,5,9,lusearch,expected-best-startup,m1
Warmup,529,false,false,best,6,9,lusearch,expected-best-startup,m1
Warmup,518,false,false,best,7,9,lusearch,expected-best-startup,m1
Steady-state,558,true,false,best,8,9,lusearch,expected-best-startup,m1
Startup,1824,false,true,best,0,10,lusearch,expected-best-startup,m1
Warmup,709,false,false,best,1,10,lusearch,expected-best-startup,m1
Warmup,541,false,false,best,2,10,lusearch,expected-best-startup,m1
Warmup,554,false,false,best,3,10,lusearch,expected-best-startup,m1
Warmup,569,false,false,best,4,10,lusearch,expected-best-startup,m1
Steady-state,556,true,false,best,5,10,lusearch,expected-best-startup,m1
Startup,1817,false,true,best,0,11,lusearch,expected-best-startup,m1
Warmup,565,false,false,best,1,11,lusearch,expected-best-startup,m1
Warmup,559,false,false,best,2,11,lusearch,expected-best-startup,m1
Warmup,557,false,false,best,3,11,lusearch,expected-best-startup,m1
Steady-state,564,true,false,best,4,11,lusearch,expected-best-startup,m1
Startup,2004,false,true,best,0,12,lusearch,expected-best-startup,m1
Warmup,680,false,false,best,1,12,lusearch,expected-best-startup,m1
Warmup,572,false,false,best,2,12,lusearch,expected-best-startup,m1
Warmup,581,false,false,best,3,12,lusearch,expected-best-startup,m1
Warmup,567,false,false,best,4,12,lusearch,expected-best-startup,m1
Steady-state,535,true,false,best,5,12,lusearch,expected-best-startup,m1
Startup,1833,false,true,best,0,13,lusearch,expected-best-startup,m1
Warmup,587,false,false,best,1,13,lusearch,expected-best-startup,m1
Warmup,547,false,false,best,2,13,lusearch,expected-best-startup,m1
Warmup,544,false,false,best,3,13,lusearch,expected-best-startup,m1
Warmup,615,false,false,best,4,13,lusearch,expected-best-startup,m1
Warmup,577,false,false,best,5,13,lusearch,expected-best-startup,m1
Warmup,529,false,false,best,6,13,lusearch,expected-best-startup,m1
Warmup,519,false,false,best,7,13,lusearch,expected-best-startup,m1
Warmup,553,false,false,best,8,13,lusearch,expected-best-startup,m1
Steady-state,525,true,false,best,9,13,lusearch,expected-best-startup,m1
Startup,1697,false,true,best,0,14,lusearch,expected-best-startup,m1
Warmup,544,false,false,best,1,14,lusearch,expected-best-startup,m1
Warmup,548,false,false,best,2,14,lusearch,expected-best-startup,m1
Warmup,526,false,false,best,3,14,lusearch,expected-best-startup,m1
Steady-state,523,true,false,best,4,14,lusearch,expected-best-startup,m1
Startup,1745,false,true,best,0,15,lusearch,expected-best-startup,m1
Warmup,566,false,false,best,1,15,lusearch,expected-best-startup,m1
Warmup,509,false,false,best,2,15,lusearch,expected-best-startup,m1
Warmup,512,false,false,best,3,15,lusearch,expected-best-startup,m1
Warmup,541,false,false,best,4,15,lusearch,expected-best-startup,m1
Steady-state,540,true,false,best,5,15,lusearch,expected-best-startup,m1
Startup,1944,false,true,best,0,16,lusearch,expected-best-startup,m1
Warmup,663,false,false,best,1,16,lusearch,expected-best-startup,m1
Warmup,535,false,false,best,2,16,lusearch,expected-best-startup,m1
Warmup,568,false,false,best,3,16,lusearch,expected-best-startup,m1
Warmup,579,false,false,best,4,16,lusearch,expected-best-startup,m1
Warmup,532,false,false,best,5,16,lusearch,expected-best-startup,m1
Warmup,521,false,false,best,6,16,lusearch,expected-best-startup,m1
Warmup,520,false,false,best,7,16,lusearch,expected-best-startup,m1
Steady-state,567,true,false,best,8,16,lusearch,expected-best-startup,m1
Startup,1876,false,true,best,0,17,lusearch,expected-best-startup,m1
Warmup,629,false,false,best,1,17,lusearch,expected-best-startup,m1
Warmup,561,false,false,best,2,17,lusearch,expected-best-startup,m1
Warmup,546,false,false,best,3,17,lusearch,expected-best-startup,m1
Warmup,574,false,false,best,4,17,lusearch,expected-best-startup,m1
Steady-state,541,true,false,best,5,17,lusearch,expected-best-startup,m1
Startup,2019,false,true,best,0,18,lusearch,expected-best-startup,m1
Warmup,715,false,false,best,1,18,lusearch,expected-best-startup,m1
Warmup,590,false,false,best,2,18,lusearch,expected-best-startup,m1
Warmup,580,false,false,best,3,18,lusearch,expected-best-startup,m1
Warmup,597,false,false,best,4,18,lusearch,expected-best-startup,m1
Steady-state,533,true,false,best,5,18,lusearch,expected-best-startup,m1
Startup,1834,false,true,best,0,19,lusearch,expected-best-startup,m1
Warmup,623,false,false,best,1,19,lusearch,expected-best-startup,m1
Warmup,548,false,false,best,2,19,lusearch,expected-best-startup,m1
Warmup,617,false,false,best,3,19,lusearch,expected-best-startup,m1
Warmup,599,false,false,best,4,19,lusearch,expected-best-startup,m1
Warmup,566,false,false,best,5,19,lusearch,expected-best-startup,m1
Warmup,532,false,false,best,6,19,lusearch,expected-best-startup,m1
Warmup,536,false,false,best,7,19,lusearch,expected-best-startup,m1
Steady-state,545,true,false,best,8,19,lusearch,expected-best-startup,m1
Startup,1878,false,true,ortho,0,0,lusearch,3->hashmap,m1
Warmup,595,false,false,ortho,1,0,lusearch,3->hashmap,m1
Warmup,556,false,false,ortho,2,0,lusearch,3->hashmap,m1
Warmup,551,false,false,ortho,3,0,lusearch,3->hashmap,m1
Warmup,626,false,false,ortho,4,0,lusearch,3->hashmap,m1
Warmup,530,false,false,ortho,5,0,lusearch,3->hashmap,m1
Warmup,523,false,false,ortho,6,0,lusearch,3->hashmap,m1
Warmup,552,false,false,ortho,7,0,lusearch,3->hashmap,m1
Steady-state,567,true,false,ortho,8,0,lusearch,3->hashmap,m1
Startup,1814,false,true,ortho,0,1,lusearch,3->hashmap,m1
Warmup,679,false,false,ortho,1,1,lusearch,3->hashmap,m1
Warmup,529,false,false,ortho,2,1,lusearch,3->hashmap,m1
Warmup,555,false,false,ortho,3,1,lusearch,3->hashmap,m1
Warmup,579,false,false,ortho,4,1,lusearch,3->hashmap,m1
Warmup,526,false,false,ortho,5,1,lusearch,3->hashmap,m1
Warmup,500,false,false,ortho,6,1,lusearch,3->hashmap,m1
Warmup,520,false,false,ortho,7,1,lusearch,3->hashmap,m1
Steady-state,555,true,false,ortho,8,1,lusearch,3->hashmap,m1
Startup,1882,false,true,ortho,0,2,lusearch,3->hashmap,m1
Warmup,649,false,false,ortho,1,2,lusearch,3->hashmap,m1
Warmup,539,false,false,ortho,2,2,lusearch,3->hashmap,m1
Warmup,584,false,false,ortho,3,2,lusearch,3->hashmap,m1
Warmup,572,false,false,ortho,4,2,lusearch,3->hashmap,m1
Warmup,548,false,false,ortho,5,2,lusearch,3->hashmap,m1
Steady-state,522,true,false,ortho,6,2,lusearch,3->hashmap,m1
Startup,1948,false,true,ortho,0,3,lusearch,3->hashmap,m1
Warmup,690,false,false,ortho,1,3,lusearch,3->hashmap,m1
Warmup,508,false,false,ortho,2,3,lusearch,3->hashmap,m1
Warmup,562,false,false,ortho,3,3,lusearch,3->hashmap,m1
Warmup,561,false,false,ortho,4,3,lusearch,3->hashmap,m1
Warmup,554,false,false,ortho,5,3,lusearch,3->hashmap,m1
Steady-state,499,true,false,ortho,6,3,lusearch,3->hashmap,m1
Startup,1878,false,true,ortho,0,4,lusearch,3->hashmap,m1
Warmup,604,false,false,ortho,1,4,lusearch,3->hashmap,m1
Warmup,573,false,false,ortho,2,4,lusearch,3->hashmap,m1
Warmup,582,false,false,ortho,3,4,lusearch,3->hashmap,m1
Steady-state,576,true,false,ortho,4,4,lusearch,3->hashmap,m1
Startup,1842,false,true,ortho,0,5,lusearch,3->hashmap,m1
Warmup,588,false,false,ortho,1,5,lusearch,3->hashmap,m1
Warmup,552,false,false,ortho,2,5,lusearch,3->hashmap,m1
Warmup,552,false,false,ortho,3,5,lusearch,3->hashmap,m1
Warmup,595,false,false,ortho,4,5,lusearch,3->hashmap,m1
Warmup,558,false,false,ortho,5,5,lusearch,3->hashmap,m1
Warmup,537,false,false,ortho,6,5,lusearch,3->hashmap,m1
Warmup,518,false,false,ortho,7,5,lusearch,3->hashmap,m1
