status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Steady-state,3634,true,false,best,4,9,avrora,expected-best-startup,m1
Startup,4167,false,true,best,0,10,avrora,expected-best-startup,m1
Warmup,3675,false,false,best,1,10,avrora,expected-best-startup,m1
Warmup,3623,false,false,best,2,10,avrora,expected-best-startup,m1
Warmup,3617,false,false,best,3,10,avrora,expected-best-startup,m1
Steady-state,3597,true,false,best,4,10,avrora,expected-best-startup,m1
Startup,4217,false,true,best,0,11,avrora,expected-best-startup,m1
Warmup,3726,false,false,best,1,11,avrora,expected-best-startup,m1
Warmup,3641,false,false,best,2,11,avrora,expected-best-startup,m1
Warmup,3636,false,false,best,3,11,avrora,expected-best-startup,m1
Steady-state,3618,true,false,best,4,11,avrora,expected-best-startup,m1
Startup,4235,false,true,best,0,12,avrora,expected-best-startup,m1
Warmup,3730,false,false,best,1,12,avrora,expected-best-startup,m1
Warmup,3664,false,false,best,2,12,avrora,expected-best-startup,m1
Warmup,3614,false,false,best,3,12,avrora,expected-best-startup,m1
Steady-state,3601,true,false,best,4,12,avrora,expected-best-startup,m1
Startup,4181,false,true,best,0,13,avrora,expected-best-startup,m1
Warmup,3712,false,false,best,1,13,avrora,expected-best-startup,m1
Warmup,3609,false,false,best,2,13,avrora,expected-best-startup,m1
Warmup,3615,false,false,best,3,13,avrora,expected-best-startup,m1
Steady-state,3618,true,false,best,4,13,avrora,expected-best-startup,m1
Startup,4241,false,true,best,0,14,avrora,expected-best-startup,m1
Warmup,3835,false,false,best,1,14,avrora,expected-best-startup,m1
Warmup,3677,false,false,best,2,14,avrora,expected-best-startup,m1
Warmup,3684,false,false,best,3,14,avrora,expected-best-startup,m1
Steady-state,3670,true,false,best,4,14,avrora,expected-best-startup,m1
Startup,4248,false,true,best,0,15,avrora,expected-best-startup,m1
Warmup,3703,false,false,best,1,15,avrora,expected-best-startup,m1
Warmup,3657,false,false,best,2,15,avrora,expected-best-startup,m1
Warmup,3644,false,false,best,3,15,avrora,expected-best-startup,m1
Steady-state,3622,true,false,best,4,15,avrora,expected-best-startup,m1
Startup,4159,false,true,best,0,16,avrora,expected-best-startup,m1
Warmup,3734,false,false,best,1,16,avrora,expected-best-startup,m1
Warmup,3612,false,false,best,2,16,avrora,expected-best-startup,m1
Warmup,3651,false,false,best,3,16,avrora,expected-best-startup,m1
Steady-state,3615,true,false,best,4,16,avrora,expected-best-startup,m1
Startup,4186,false,true,best,0,17,avrora,expected-best-startup,m1
Warmup,3718,false,false,best,1,17,avrora,expected-best-startup,m1
Warmup,3635,false,false,best,2,17,avrora,expected-best-startup,m1
Warmup,3618,false,false,best,3,17,avrora,expected-best-startup,m1
Steady-state,3615,true,false,best,4,17,avrora,expected-best-startup,m1
Startup,4204,false,true,best,0,18,avrora,expected-best-startup,m1
Warmup,3689,false,false,best,1,18,avrora,expected-best-startup,m1
Warmup,3613,false,false,best,2,18,avrora,expected-best-startup,m1
Warmup,3632,false,false,best,3,18,avrora,expected-best-startup,m1
Steady-state,3626,true,false,best,4,18,avrora,expected-best-startup,m1
Startup,4192,false,true,best,0,19,avrora,expected-best-startup,m1
Warmup,3774,false,false,best,1,19,avrora,expected-best-startup,m1
Warmup,3689,false,false,best,2,19,avrora,expected-best-startup,m1
Warmup,3633,false,false,best,3,19,avrora,expected-best-startup,m1
Steady-state,3638,true,false,best,4,19,avrora,expected-best-startup,m1
Startup,4143,false,true,ortho,0,0,avrora,1->arraylist,m1
Warmup,3743,false,false,ortho,1,0,avrora,1->arraylist,m1
Warmup,3633,false,false,ortho,2,0,avrora,1->arraylist,m1
Warmup,3620,false,false,ortho,3,0,avrora,1->arraylist,m1
Steady-state,3598,true,false,ortho,4,0,avrora,1->arraylist,m1
Startup,4238,false,true,ortho,0,1,avrora,1->arraylist,m1
Warmup,3795,false,false,ortho,1,1,avrora,1->arraylist,m1
Warmup,3648,false,false,ortho,2,1,avrora,1->arraylist,m1
Warmup,3641,false,false,ortho,3,1,avrora,1->arraylist,m1
Steady-state,3631,true,false,ortho,4,1,avrora,1->arraylist,m1
Startup,4262,false,true,ortho,0,2,avrora,1->arraylist,m1
Warmup,3745,false,false,ortho,1,2,avrora,1->arraylist,m1
Warmup,3618,false,false,ortho,2,2,avrora,1->arraylist,m1
Warmup,3635,false,false,ortho,3,2,avrora,1->arraylist,m1
Steady-state,3633,true,false,ortho,4,2,avrora,1->arraylist,m1
Startup,4202,false,true,ortho,0,3,avrora,1->arraylist,m1
Warmup,3705,false,false,ortho,1,3,avrora,1->arraylist,m1
Warmup,3633,false,false,ortho,2,3,avrora,1->arraylist,m1
Warmup,3629,false,false,ortho,3,3,avrora,1->arraylist,m1
Steady-state,3620,true,false,ortho,4,3,avrora,1->arraylist,m1
Startup,4220,false,true,ortho,0,4,avrora,1->arraylist,m1
Warmup,3741,false,false,ortho,1,4,avrora,1->arraylist,m1
Warmup,3630,false,false,ortho,2,4,avrora,1->arraylist,m1
Warmup,3657,false,false,ortho,3,4,avrora,1->arraylist,m1
Steady-state,3637,true,false,ortho,4,4,avrora,1->arraylist,m1
Startup,4196,false,true,ortho,0,5,avrora,1->arraylist,m1
Warmup,3720,false,false,ortho,1,5,avrora,1->arraylist,m1
Warmup,3606,false,false,ortho,2,5,avrora,1->arraylist,m1
Warmup,3610,false,false,ortho,3,5,avrora,1->arraylist,m1
Steady-state,3598,true,false,ortho,4,5,avrora,1->arraylist,m1
Startup,4283,false,true,ortho,0,6,avrora,1->arraylist,m1
Warmup,3844,false,false,ortho,1,6,avrora,1->arraylist,m1
Warmup,3715,false,false,ortho,2,6,avrora,1->arraylist,m1
Warmup,3736,false,false,ortho,3,6,avrora,1->arraylist,m1
Steady-state,3700,true,false,ortho,4,6,avrora,1->arraylist,m1
Startup,4173,false,true,ortho,0,7,avrora,1->arraylist,m1
Warmup,3772,false,false,ortho,1,7,avrora,1->arraylist,m1
Warmup,3608,false,false,ortho,2,7,avrora,1->arraylist,m1
