status,running-time,converged,first-run,variant-type,run-number,jvm-invocation,benchmark,label,machine
Steady-state,1328,true,false,best,6,2,bloat,expected-best-startup,m1
Startup,2108,false,true,best,0,3,bloat,expected-best-startup,m1
Warmup,1640,false,false,best,1,3,bloat,expected-best-startup,m1
Warmup,1425,false,false,best,2,3,bloat,expected-best-startup,m1
Warmup,1372,false,false,best,3,3,bloat,expected-best-startup,m1
Warmup,1380,false,false,best,4,3,bloat,expected-best-startup,m1
Steady-state,1346,true,false,best,5,3,bloat,expected-best-startup,m1
Startup,2156,false,true,best,0,4,bloat,expected-best-startup,m1
Warmup,1651,false,false,best,1,4,bloat,expected-best-startup,m1
Warmup,1408,false,false,best,2,4,bloat,expected-best-startup,m1
Warmup,1372,false,false,best,3,4,bloat,expected-best-startup,m1
Warmup,1374,false,false,best,4,4,bloat,expected-best-startup,m1
Steady-state,1337,true,false,best,5,4,bloat,expected-best-startup,m1
Startup,2150,false,true,best,0,5,bloat,expected-best-startup,m1
Warmup,1684,false,false,best,1,5,bloat,expected-best-startup,m1
Warmup,1442,false,false,best,2,5,bloat,expected-best-startup,m1
Warmup,1393,false,false,best,3,5,bloat,expected-best-startup,m1
Warmup,1402,false,false,best,4,5,bloat,expected-best-startup,m1
Steady-state,1364,true,false,best,5,5,bloat,expected-best-startup,m1
Startup,2117,false,true,best,0,6,bloat,expected-best-startup,m1
Warmup,1594,false,false,best,1,6,bloat,expected-best-startup,m1
Warmup,1371,false,false,best,2,6,bloat,expected-best-startup,m1
Warmup,1351,false,false,best,3,6,bloat,expected-best-startup,m1
Warmup,1382,false,false,best,4,6,bloat,expected-best-startup,m1
Steady-state,1333,true,false,best,5,6,bloat,expected-best-startup,m1
Startup,2080,false,true,best,0,7,bloat,expected-best-startup,m1
Warmup,1610,false,false,best,1,7,bloat,expected-best-startup,m1
Warmup,1358,false,false,best,2,7,bloat,expected-best-startup,m1
Warmup,1335,false,false,best,3,7,bloat,expected-best-startup,m1
Warmup,1361,false,false,best,4,7,bloat,expected-best-startup,m1
Steady-state,1313,true,false,best,5,7,bloat,expected-best-startup,m1
Startup,2148,false,true,best,0,8,bloat,expected-best-startup,m1
Warmup,1624,false,false,best,1,8,bloat,expected-best-startup,m1
Warmup,1374,false,false,best,2,8,bloat,expected-best-startup,m1
Warmup,1347,false,false,best,3,8,bloat,expected-best-startup,m1
Warmup,1370,false,false,best,4,8,bloat,expected-best-startup,m1
Steady-state,1332,true,false,best,5,8,bloat,expected-best-startup,m1
Startup,2139,false,true,best,0,9,bloat,expected-best-startup,m1
Warmup,1608,false,false,best,1,9,bloat,expected-best-startup,m1
Warmup,1352,false,false,best,2,9,bloat,expected-best-startup,m1
Warmup,1335,false,false,best,3,9,bloat,expected-best-startup,m1
Warmup,1361,false,false,best,4,9,bloat,expected-best-startup,m1
Steady-state,1315,true,false,best,5,9,bloat,expected-best-startup,m1
Startup,2105,false,true,best,0,10,bloat,expected-best-startup,m1
Warmup,1608,false,false,best,1,10,bloat,expected-best-startup,m1
Warmup,1349,false,false,best,2,10,bloat,expected-best-startup,m1
Warmup,1311,false,false,best,3,10,bloat,expected-best-startup,m1
Warmup,1329,false,false,best,4,10,bloat,expected-best-startup,m1
Steady-state,1305,true,false,best,5,10,bloat,expected-best-startup,m1
Startup,2179,false,true,best,0,11,bloat,expected-best-startup,m1
